,"Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)"
"Kuwait","98.8","98.7","98.6","98.4","98.3","98.1","98.0","94.8","85.7","74.9","61.5"
"Kyrgyzstan","50.8","45.3","40.1","36.6","35.3","35.3","37.8","38.6","37.5","34.2","26.5"
"Lao People's Democratic Republic","60.8","55.9","50.9","43.5","33.1","22.0","15.4","12.4","9.6","7.9","7.2"
"Latvia","74.8","71.7","68.8","67.4","67.7","68.1","69.3","67.1","60.7","52.9","46.4"
"Lebanon","91.7","90.7","89.6","88.4","87.2","86.0","83.1","73.7","59.5","42.3","32.0"
"Lesotho","46.7","41.1","35.6","30.0","24.8","19.5","14.0","11.5","8.6","3.5","1.8"
"Liberia","65.2","60.8","56.2","51.8","47.8","44.3","55.4","35.2","26.0","18.6","13.0"
"Libya","85.7","83.8","81.8","79.6","77.6","76.3","75.7","70.1","49.7","27.3","19.5"
"Lithuania","74.7","71.5","68.4","66.7","66.8","67.0","67.6","61.2","49.6","39.5","28.8"
"Luxembourg","94.3","93.7","92.9","91.4","88.5","84.2","80.9","80.0","74.4","69.6","67.2"
"Madagascar","55.0","49.7","44.3","38.3","31.9","27.1","23.6","18.5","14.1","10.6","7.8"
"Malawi","30.2","25.0","20.4","17.3","15.5","14.6","11.6","9.1","6.1","4.4","3.5"
"Malaysia","85.9","84.2","81.9","77.7","70.9","62.0","49.8","42.0","33.5","26.6","20.4"
"Maldives","62.5","59.4","56.2","50.2","40.0","27.7","25.8","22.3","11.9","11.2","10.6"
"Mali","60.3","55.4","50.3","43.7","36.0","28.4","23.3","18.5","14.3","11.1","8.5"
"Malta","97.2","96.9","96.6","95.9","94.7","92.4","90.4","89.8","89.7","90.1","88.9"
"Marshall Islands","80.1","78.2","76.1","73.9","71.3","68.4","65.1","58.3","53.5","35.6","23.3"
"Mauritania","74.1","70.6","66.9","62.6","56.7","49.2","41.3","27.4","14.6","6.9","3.1"
"Mauritius","46.3","42.8","40.0","39.3","40.6","42.7","43.9","42.4","42.0","33.2","29.3"
"Mexico","86.4","84.7","82.8","80.6","77.8","74.7","71.4","66.3","59.0","50.8","42.7"
"Monaco","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Mongolia","84.8","82.9","80.4","75.6","67.6","57.1","57.0","52.1","45.1","35.7","20.0"
"Montenegro","72.4","69.9","67.3","65.0","63.1","58.5","48.0","36.8","26.9","18.8","12.7"
"Morocco","74.0","70.7","67.0","62.6","57.7","53.3","48.4","41.2","34.5","29.4","26.2"
"Mozambique","49.1","43.5","38.1","33.8","31.0","29.1","25.0","13.1","7.0","4.8","3.5"
"Myanmar","54.9","48.8","42.8","36.9","31.4","27.0","24.6","24.0","22.8","19.2","16.2"
"Namibia","67.8","63.8","58.8","51.3","41.6","32.4","27.7","25.1","22.3","17.9","13.4"
"Nauru","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Nepal","35.6","30.1","25.1","20.6","16.8","13.4","8.9","6.1","4.0","3.5","2.7"
"Netherlands","96.4","96.0","95.1","92.8","87.1","76.8","68.7","64.7","61.7","59.8","56.1"
"New Zealand","89.8","88.6","87.4","86.5","86.2","85.7","84.7","83.4","81.1","76.0","72.5"
"Nicaragua","71.9","68.2","64.3","60.5","57.3","54.7","52.3","49.9","47.0","39.6","35.2"
"Niger","35.4","29.7","24.6","20.3","17.6","16.2","15.4","13.4","8.8","5.8","4.9"
"Nigeria","67.1","63.0","58.3","51.7","43.5","34.8","29.7","22.0","17.8","15.4","7.8"
"Niue","58.8","55.6","51.8","46.1","38.7","33.1","30.9","27.0","21.1","21.5","21.5"
"Norway","87.2","85.7","83.9","81.7","79.1","76.1","72.0","70.5","65.4","49.9","50.5"
"Oman","86.5","84.8","82.8","79.7","75.2","71.6","66.1","47.6","29.7","16.4","8.6"
"Pakistan","57.5","52.0","46.6","41.2","36.6","33.2","30.6","28.1","24.8","22.1","17.5"
"Palau","93.1","92.4","91.6","89.4","83.4","70.0","69.6","62.5","59.7","56.8","53.9"
"Panama","77.3","74.4","71.3","68.1","65.1","62.2","53.9","50.4","47.6","41.2","35.8"
"Papua New Guinea","22.7","18.3","15.0","13.3","13.0","13.2","15.0","13.0","9.8","3.7","1.7"
"Paraguay","71.5","67.9","64.3","61.0","58.5","55.3","48.7","41.7","37.1","35.6","34.6"
"Peru","86.2","84.5","82.6","80.1","76.9","73.0","68.9","64.6","57.4","46.8","41.0"
"Philippines","56.3","51.1","46.3","44.3","45.3","48.0","48.6","37.5","33.0","30.3","27.1"
"Poland","70.0","66.2","62.6","60.7","60.9","61.7","61.3","58.1","52.1","47.9","38.3"
"Portugal","76.8","73.9","70.6","66.1","60.6","54.4","47.9","42.8","38.8","35.0","31.2"
"Qatar","99.8","99.8","99.7","99.5","98.7","96.3","92.8","89.4","88.4","85.3","80.5"
"Republic of Korea","87.6","86.1","84.5","83.1","81.9","79.6","73.8","56.7","40.7","27.7","21.4"
"Republic of Moldova","58.9","53.9","48.9","45.7","44.9","45.8","46.8","40.4","32.1","23.4","18.5"
"Romania","66.8","62.7","58.7","55.6","53.8","53.0","53.2","46.1","40.3","34.2","25.6"
"Russian Federation","81.1","78.7","76.3","74.6","73.7","73.4","73.4","69.8","62.5","53.7","44.1"
"Rwanda","52.6","47.2","41.5","33.5","24.0","14.9","5.4","4.7","3.2","2.6","2.1"
"Saint Kitts and Nevis","42.5","39.0","35.6","32.8","31.8","32.8","34.6","35.9","34.1","27.6","26.5"
"Saint Lucia","25.1","22.3","20.0","18.8","18.5","27.8","29.3","26.5","23.9","21.5","19.2"
"Saint Vincent and the Grenadines","61.9","58.8","55.6","52.3","48.8","45.2","41.4","35.9","30.7","25.9","21.7"
"Samoa","23.4","20.7","18.8","18.6","20.1","22.0","21.2","21.2","20.4","18.9","12.9"
"San Marino","95.7","95.2","94.7","94.3","94.1","93.4","90.4","81.2","59.8","48.9","43.2"
"Sao Tome and Principe","75.5","73.2","70.8","67.6","61.9","53.4","43.6","33.5","29.5","16.1","13.5"
"Saudi Arabia","88.7","87.4","85.9","84.1","82.1","79.8","76.6","65.9","48.7","31.3","21.3"
"Senegal","60.5","55.4","50.3","45.6","42.2","40.3","38.9","35.8","30.0","23.0","17.2"
"Serbia","67.0","62.9","58.9","56.3","55.2","53.2","50.4","46.1","39.7","29.1","20.3"
"Seychelles","65.0","61.9","58.8","55.5","52.3","50.1","49.3","49.4","39.1","27.7","27.4"
"Sierra Leone","57.2","52.0","46.7","41.9","38.2","35.6","33.3","29.8","24.0","17.4","12.6"
"Singapore","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","99.4"
"Slovakia","63.4","58.8","54.7","53.2","54.7","56.2","56.5","51.6","41.1","33.5","30.0"
"Slovenia","60.6","55.8","51.7","49.8","50.0","50.8","50.4","48.0","37.0","28.2","19.9"
"Solomon Islands","35.2","31.9","28.6","24.5","20.0","15.8","13.7","10.6","8.9","5.8","3.8"
"Somalia","57.9","52.6","47.3","42.0","37.3","33.2","29.7","26.8","22.7","17.3","12.7"
"South Africa","77.4","74.6","71.3","67.2","62.2","56.9","52.0","48.4","47.8","46.6","42.2"
"South Sudan","33.9","28.5","23.6","20.1","17.9","16.5","13.3","8.5","8.6","8.7","8.9"
"Spain","86.3","84.6","82.7","80.7","78.4","76.3","75.4","72.8","66.0","56.6","51.9"
"Sri Lanka","30.2","25.0","20.9","18.8","18.3","18.4","18.6","18.8","19.5","16.4","15.3"
"Sudan","49.8","44.2","38.8","35.0","33.1","32.5","28.6","20.0","16.5","10.7","6.8"
"Suriname","71.7","69.2","67.0","66.0","66.3","66.4","65.7","65.0","45.9","47.3","46.9"
"Swaziland","28.8","25.8","23.0","21.5","21.5","22.7","22.9","17.8","9.7","3.9","2.0"
"Sweden","90.3","89.2","87.9","86.6","85.1","84.0","83.1","83.1","81.0","72.5","65.7"
"Switzerland","80.8","78.4","76.1","74.4","73.7","73.3","73.2","57.1","57.4","51.0","44.4"
"Syrian Arab Republic","71.5","67.8","63.8","59.7","55.7","51.9","48.9","46.7","43.3","36.8","32.7"
"Tajikistan","41.0","35.4","30.4","27.5","26.5","26.5","31.7","34.3","36.9","33.2","29.4"
"Thailand","71.8","68.2","63.9","55.8","44.1","31.4","29.4","26.8","20.9","19.7","16.5"
"Timor-Leste","48.3","44.8","41.0","35.8","29.5","24.3","20.8","16.5","12.9","10.1","9.9"
"Togo","57.9","52.9","47.7","42.5","37.5","32.9","28.6","24.7","21.3","10.1","4.4"
"Tonga","31.9","28.7","26.0","24.2","23.4","23.0","22.7","21.2","20.2","17.6","12.9"
"Trinidad and Tobago","10.7","9.2","8.1","8.1","9.1","10.8","8.5","10.9","11.9","17.3","21.4"
"Tunisia","76.6","73.7","70.6","67.9","65.9","63.4","57.9","50.6","43.5","37.5","32.3"
"Turkey","83.7","81.7","79.3","75.7","70.7","64.7","59.2","43.8","38.2","31.5","24.8"
"Turkmenistan","65.5","61.0","56.4","51.9","48.4","45.9","45.1","47.1","47.8","46.4","45.0"
"Tuvalu","75.4","73.2","69.9","63.9","54.8","46.0","40.7","29.8","22.1","15.9","11.2"
"Uganda","32.1","26.8","22.0","17.9","14.5","12.1","11.1","7.5","6.7","4.4","2.8"
"Ukraine","79.0","76.3","73.5","70.8","68.7","67.1","66.8","61.7","54.8","46.8","35.5"
"United Arab Emirates","90.8","89.7","88.5","86.8","84.1","80.2","79.1","80.7","79.8","73.5","54.5"
"United Kingdom of Great Britain and Northern Ireland","88.6","87.3","85.7","83.8","81.3","78.7","78.1","78.5","77.1","78.4","79.0"
"United Republic of Tanzania","53.0","47.7","41.9","35.1","28.1","22.3","18.9","14.6","7.9","5.2","3.5"
"United States of America","87.4","85.9","84.2","82.5","80.8","79.1","75.3","73.7","73.6","70.0","64.2"
"Uruguay","97.5","97.2","96.8","96.0","94.4","92.0","89.0","85.4","82.4","80.2","77.9"
"Uzbekistan","51.9","46.3","40.9","37.2","36.2","37.4","40.2","40.8","36.7","34.0","28.9"
"Vanuatu","37.5","34.2","30.9","27.7","24.6","21.7","18.7","14.7","12.3","10.4","8.8"
"Venezuela (Bolivarian Republic of)","91.9","91.0","90.1","89.3","88.8","88.0","84.3","79.2","71.9","61.6","47.3"
"Viet Nam","53.8","48.4","43.0","36.8","30.4","24.4","20.3","19.2","18.3","14.7","11.6"
"Yemen","54.1","48.6","43.2","37.5","31.7","26.3","20.9","16.5","13.3","9.1","5.8"
"Zambia","58.3","53.3","48.2","43.3","38.7","34.8","39.4","39.8","30.4","18.1","11.5"
"Zimbabwe","43.7","38.1","33.8","32.2","33.2","33.8","29.0","22.4","17.4","12.6","10.6"
